Store Name,Address,Road Address,Longitude,Latitude,Link,Category
PRTPRT SHOP,서울특별시 성동구 성수동2가 316-5 2층,서울특별시 성동구 연무장길 29-17 2층,1270526921,375436156,https://www.instagram.com/prtprtshop,"남성, 스트릿, 캐주얼, 고프코어, 아메카지, 미니멀, 편집샵"
4xr 성수점,서울특별시 성동구 성수동2가 315-7 성문빌딩 1층,서울특별시 성동구 성수이로 87,1270562263,375427177,http://www.4xr.co.kr/,"남성, 편집샵"
셔터,서울특별시 성동구 성수동2가 275-3 금별빌딩 2층 202호,서울특별시 성동구 동일로 91 금별빌딩 2층 202호,1270630000,375409951,http://www.shirter.co.kr,"남성, 미니멀, 캐주얼"
니트서울,서울특별시 성동구 성수동2가 264-6 1층,서울특별시 성동구 성덕정19길 23 1층,1270578968,375377605,https://blog.naver.com/neat_seoul,"남성, 미니멀, 캐주얼"
스무드무드,서울특별시 성동구 성수동2가 289-212 2층,서울특별시 성동구 성수일로12길 32 2층,1270543255,375476790,https://www.instagram.com/smoothmood.kr,"여성, 캐주얼, 미니멀"
The Barnnet Corner Shop,서울특별시 성동구 성수동2가 316-20 1층,서울특별시 성동구 연무장길 29-1 1층,1270527078,375433469,https://www.instagram.com/thebarnnet/,"여성, 클래식, 캐주얼"
레이브 스튜디오 성수점,서울특별시 성동구 성수동2가 301-88 1층 RIAVE,서울특별시 성동구 연무장길 13 1층 RIAVE,1270511727,375438238,https://www.instagram.com/raive_studio/,"여성, 클래식, 캐주얼"
그린버터 성수 플래그십스토어,서울특별시 성동구 성수동2가 309-144 GREENBUTTER,서울특별시 성동구 성수이로7길 24 GREENBUTTER,1270542988,375413246,https://greenbutter.co.kr/,"여성, 클래식, 캐주얼"
퓨어다 성수,서울특별시 성동구 성수동2가 302-36 1층,서울특별시 성동구 연무장길 17 1층,1270514670,375437393,https://pureda.co.kr/,"여성, 클래식, 미니멀"
무신사 스토어 성수 대림창고,서울특별시 성동구 성수2가1동 322-13,서울특별시 성동구 성수이로 74,1270564109,375415950,https://www.musinsa.com/cms/micro/view/13121,"남성, 여성, 편집샵"
무신사 스퀘어 성수 4,서울특별시 성동구 성수동2가 273-35 1층,서울특별시 성동구 성수이로20길 12 1층,1270580201,375432483,https://squareseoul.kr/,"남성, 여성, 편집샵"
